spp,month_name,mean_abund
Migonemyia migonei,Jan,12.666666666666666
Migonemyia migonei,Feb,20
Migonemyia migonei,Mar,3
Migonemyia migonei,Apr,6
Migonemyia migonei,May,5.25
Migonemyia migonei,Jun,26.8
Migonemyia migonei,Jul,3.8333333333333335
Migonemyia migonei,Aug,11
Migonemyia migonei,Sep,6.833333333333333
Migonemyia migonei,Oct,7.166666666666667
Migonemyia migonei,Nov,3.5
Migonemyia migonei,Dec,17.666666666666668
Nyssomyia intermedia,Jan,232.5
Nyssomyia intermedia,Feb,147.66666666666666
Nyssomyia intermedia,Mar,118
Nyssomyia intermedia,Apr,170.16666666666666
Nyssomyia intermedia,May,107.25
Nyssomyia intermedia,Jun,468.8
Nyssomyia intermedia,Jul,205.83333333333334
Nyssomyia intermedia,Aug,296.6666666666667
Nyssomyia intermedia,Sep,336.3333333333333
Nyssomyia intermedia,Oct,200.66666666666666
Nyssomyia intermedia,Nov,120.33333333333333
Nyssomyia intermedia,Dec,498.1666666666667
Nyssomyia whitmani,Feb,0.3333333333333333
Nyssomyia whitmani,Mar,0.2
Nyssomyia whitmani,May,0.25
Nyssomyia whitmani,Jun,1.4
Nyssomyia whitmani,Jul,0.8333333333333334
Nyssomyia whitmani,Aug,1.8333333333333333
Nyssomyia whitmani,Sep,3.8333333333333335
Nyssomyia whitmani,Oct,0.3333333333333333
Nyssomyia whitmani,Nov,0.16666666666666666
Nyssomyia whitmani,Dec,0.16666666666666666
Pintomyia fischeri,Jan,1.5
Pintomyia fischeri,Feb,12.333333333333334
Pintomyia fischeri,Mar,7.2
Pintomyia fischeri,Apr,2.6666666666666665
Pintomyia fischeri,May,7.25
Pintomyia fischeri,Jun,17
Pintomyia fischeri,Jul,1
Pintomyia fischeri,Aug,0.8333333333333334
Pintomyia fischeri,Sep,5
Pintomyia fischeri,Oct,4.333333333333333
Pintomyia fischeri,Nov,1.3333333333333333
Pintomyia fischeri,Dec,5.333333333333333
