id,forest,pasture,agripasture,urban,nonveg,water
22_1992,0.43236842105263157,0.3531578947368421,0.1386842105263158,0.060263157894736845,0.015526315789473685,0
25_1992,0.4053199894653674,0.3968922833816171,0.16038978140637344,0.021859362654727415,0.01553858309191467,0
22_1993,0.42736842105263156,0.3476315789473684,0.1513157894736842,0.06236842105263158,0.011315789473684211,0
25_1993,0.39715564919673424,0.39899920990255466,0.17066104819594416,0.023176191730313406,0.010007900974453516,0
3_2001,0.4182679652540142,0.4416951829428797,0.14003685180310607,0,0,0
5_2001,0.1026045777426993,0.6540384109444883,0.24151539068666142,0,0.001841620626151013,0
1_2002,0.6084669997370497,0.30212989744938207,0.08940310281356824,0,0,0
2_2002,0.6512118018967334,0.26159114857745,0.08719704952581665,0,0,0
3_2002,0.4182679652540142,0.43958936562253226,0.14214266912345355,0,0,0
4_2002,0.11119402985074626,0.5981343283582089,0.2574626865671642,0,0.0332089552238806,0
5_2002,0.10865561694290976,0.6548276769271244,0.2365167061299658,0,0,0
6_2002,0.7588839168202158,0.13240326401684654,0.10871281916293761,0,0,0
7_2002,0.18031060805475124,0.6399052382205843,0.1797841537246644,0,0,0
8_2002,0.08922323303009097,0.6077676696990902,0.2603219034289713,0.027641707487753672,0.015045486354093772,0
9_2002,0.665351223362273,0.2315180215732702,0.10313075506445672,0,0,0
10_2002,0.6625427744143195,0.23716767570413266,0.10028954988154777,0,0,0
11_2002,0.8002105817320347,0.13845748881284548,0.06133192945511977,0,0,0
12_2002,0.6912345354040537,0.21742563832587522,0.09133982627007108,0,0,0
13_2002,0.2456556082148499,0.5747761979989469,0.17956819378620326,0,0,0
14_2002,0.7550644567219152,0.15680084188371482,0.08813470139436991,0,0,0
15_2002,0.6318145904661575,0.23360547800895443,0.12404529892020016,0.009744535159336319,7.900974453515934e-4,0
16_2002,0.6535018430753028,0.22538177988414956,0.12111637704054766,0,0,0
17_2002,0.6176315789473684,0.2536842105263158,0.11947368421052632,0.009210526315789473,0,0
18_2002,0.6663157894736842,0.215,0.1186842105263158,0,0,0
19_2002,0.2720801476403902,0.4471394674400211,0.21618771421038754,0.06037437384655945,0.004218296862641709,0
20_2002,0.09426013691416535,0.6208530805687204,0.23617693522906794,0.0444971037388099,0.00421274354923644,0
21_2002,0.2678618507777485,0.39862905351964145,0.22014236751911415,0.10914843132085421,0.004218296862641709,0
22_2002,0.39552631578947367,0.36894736842105263,0.15342105263157896,0.07605263157894737,0.0060526315789473685,0
23_2002,0.2515143534369239,0.31103502765341057,0.2146431393205162,0.21991045562286016,0.0028970239662891757,0
24_2002,0.2018421052631579,0.32894736842105265,0.2413157894736842,0.22157894736842104,0.00631578947368421,0
26_2002,0.35620399579390116,0.4405888538380652,0.15851735015772872,0.03680336487907466,0.007886435331230283,0
27_2002,0.13138493944181148,0.389942074776198,0.25144813059505,0.22090573986308584,0.00631911532385466,0
28_2002,0.22973684210526316,0.32026315789473686,0.1918421052631579,0.2563157894736842,0.0018421052631578947,0
29_2002,0.11488801054018445,0.39288537549407115,0.24453227931488802,0.24137022397891963,0.006324110671936759,0
30_2002,0.2073684210526316,0.30894736842105264,0.21421052631578946,0.26421052631578945,0.005263157894736842,0
31_2002,0.21458662453923116,0.31068983675618744,0.19931542917324907,0.2706687730384413,0.004739336492890996,0
32_2002,0.3336844877534896,0.40242296549907824,0.18672636291809322,0.06847511193047143,0.008691071898867527,0
33_2002,0.477733860342556,0.29617918313570485,0.17101449275362318,0.04137022397891963,0.011330698287220026,0.0023715415019762848
34_2002,0.44371383482377696,0.29852709100473435,0.17701209889531824,0.06365071015255129,0.014729089952656496,0.002367175170962651
35_2002,0.4869633921516987,0.26757966815907297,0.17092441401106137,0.05741374769554912,0.014748485646563076,0.00237029233605478
36_2002,0.24275934702474986,0.28014744602422326,0.2027382833070037,0.26171669299631384,0.01263823064770932,0
37_2002,0.20215846275335614,0.30508028428533823,0.20268491708344302,0.2842853382469071,0.005790997630955514,0
38_2002,0.43,0.21973684210526315,0.2031578947368421,0.13,0.014736842105263158,0.002368421052631579
39_2002,0.3063157894736842,0.24947368421052632,0.21526315789473685,0.21394736842105264,0.01263157894736842,0.002368421052631579
40_2002,0.2794736842105263,0.25394736842105264,0.2218421052631579,0.23236842105263159,0.012105263157894737,2.631578947368421e-4
41_2002,0.26217425638325875,0.2698078441695183,0.21821531982100553,0.2374309028691761,0.012371676757041327,0
42_2002,0.06023145712782746,0.33245660178853237,0.203577064702788,0.3929510783798001,0.010783798001052078,0
43_2002,0.04028436018957346,0.44971037388099,0.19852553975776724,0.29778830963665087,0.01369141653501843,0
44_2002,0.31254932912391475,0.4209418574059458,0.24704025256511444,0.019468560905024992,0,0
45_2002,0.21842105263157896,0.5363157894736842,0.24526315789473685,0,0,0
46_2002,0.21009729161188537,0.5369445174861951,0.2529581909019195,0,0,0
47_2002,0.21144213023991562,0.5420511468494595,0.24650672291062484,0,0,0
48_2002,0.45631578947368423,0.24736842105263157,0.24394736842105263,0.05105263157894737,0.0013157894736842105,0
49_2002,0.18188997104501184,0.5401421426691234,0.2779678862858647,0,0,0
50_2002,0.28996576244403477,0.4137476955491177,0.2962865420068475,0,0,0
51_2002,0.43327191366148987,0.30350092129507766,0.26322716504343247,0,0,0
44_2003,0.3212312549329124,0.43777953170218364,0.22152065245987898,0.019468560905024992,0,0
48_2003,0.4681578947368421,0.25921052631578945,0.22052631578947368,0.05210526315789474,0,0
